Neighborhood,Total Population,Average Household Income,Health Insurance Coverage Rate (%),Self-Employment Rate (%)
Allegheny Center,1411.0,39947000.0,7.299787384833452,2.551381998582565
Allegheny West,343.0,23793300.0,5.247813411078718,6.41399416909621
Allentown,2558.0,38303700.0,30.531665363565285,0.46911649726348714
Arlington,1852.0,35349900.0,11.663066954643629,1.511879049676026
Arlington Heights,272.0,2389600.0,35.661764705882355,0.0
Banksville,3858.0,138084700.0,7.439087610160705,3.136340072576464
Bedford Dwellings,1349.0,10529100.0,30.1704966641957,0.0
Beechview,8078.0,193055900.0,13.567714780886359,1.7702401584550629
Beltzhoover,1702.0,28121300.0,14.45358401880141,0.5875440658049353
Bloomfield,8669.0,249898900.0,7.128849925020186,3.9796977736763184
Bluff,6294.0,11005200.0,1.0486177311725453,0.11121703209405784
Bon Air,920.0,22093100.0,18.586956521739133,3.5869565217391304
Brighton Heights,7421.0,201692800.0,15.254008893680096,3.651798948928716
Brookline,13160.0,366945900.0,17.013677811550153,3.17629179331307
California-Kirkbride,803.0,10718900.0,22.291407222914074,2.3661270236612704
Carrick,10122.0,221221100.0,19.600869393400515,2.351313969571231
Central Business District,4060.0,210460000.0,1.6995073891625616,5.443349753694581
Central Lawrenceville,4775.0,144917900.0,6.806282722513089,5.696335078534032
Central Northside,2892.0,96353500.0,15.283540802213002,3.699861687413555
Central Oakland,5822.0,55528300.0,0.395053246307111,2.49055307454483
Chartiers City,560.0,13805200.0,16.071428571428573,3.9285714285714284
Chateau,3.0,0.0,0.0,0.0
Crafton Heights,3964.0,89278600.0,20.25731584258325,3.0524722502522703
Crawford-Roberts,2225.0,34226600.0,13.662921348314608,1.303370786516854
Duquesne Heights,2522.0,91613300.0,13.71927042030135,1.6653449643140366
East Allegheny,2095.0,56433100.0,5.441527446300716,4.486873508353222
East Carnegie,610.0,14945000.0,13.77049180327869,3.7704918032786887
East Hills,2859.0,41528200.0,21.86079048618398,0.6645680307799929
East Liberty,5537.0,115711700.0,17.157305400036122,3.9913310456926134
Elliott,2491.0,43215900.0,27.25812926535528,3.81372942593336
Esplen,309.0,5433900.0,11.326860841423949,4.53074433656958
Fairywood,1181.0,33908400.0,10.245554614733276,2.2861981371718882
Fineview,1270.0,25475500.0,18.976377952755904,1.7322834645669292
Friendship,1840.0,47475400.0,4.891304347826087,2.010869565217391
Garfield,3966.0,67632800.0,22.970247100353,2.3701462430660616
Glen Hazel,716.0,4773300.0,16.480446927374302,0.0
Greenfield,7690.0,241377900.0,14.57737321196359,5.604681404421327
Hays,405.0,6432200.0,20.74074074074074,1.9753086419753085
Hazelwood,4257.0,75829000.0,24.148461357763683,0.7986845196147521
Highland Park,6810.0,242405400.0,21.674008810572687,5.1982378854625555
Homewood North,3371.0,37727300.0,34.55947789973302,2.0172055769801247
Homewood South,2276.0,29434400.0,21.79261862917399,1.4059753954305798
Homewood West,850.0,11290000.0,14.352941176470587,0.0
Knoxville,4255.0,60537300.0,28.390129259694476,2.138660399529965
Larimer,1641.0,18139300.0,22.242535039609994,1.401584399756246
Lincoln Place,3499.0,84551900.0,18.11946270362961,4.001143183766791
Lincoln-Lemington-Belmar,4955.0,91032900.0,12.674066599394552,1.109989909182644
Lower Lawrenceville,2572.0,63562900.0,15.279937791601867,3.4992223950233283
Manchester,1944.0,54372200.0,14.19753086419753,5.504115226337449
Marshall-Shadeland,6195.0,68871800.0,14.705407586763519,1.0815173527037933
Middle Hill,1760.0,27566200.0,11.420454545454547,0.7954545454545454
Morningside,3262.0,87871100.0,14.316370324954017,5.242182709993869
Mount Oliver Borough,3399.0,61592000.0,22.889085025007354,0.9708737864077669
Mount Washington,8743.0,267100700.0,9.76781425140112,4.3120210454077545
Mt. Oliver,598.0,13962700.0,15.384615384615385,4.3478260869565215
New Homestead,973.0,27062600.0,21.377183967112025,2.5693730729701953
North Oakland,9602.0,123408700.0,3.2805665486357007,1.5309310560299938
North Shore,205.0,12397000.0,5.853658536585367,0.0
Northview Heights,1545.0,8755000.0,41.359223300970875,0.7119741100323626
Oakwood,1058.0,25014900.0,11.720226843100189,1.1342155009451798
Overbrook,3682.0,90146300.0,13.199348180336774,2.552960347637154
Perry North,3771.0,104107900.0,16.653407584195172,3.261734287987271
Perry South,3398.0,54989600.0,22.68981753972925,3.737492642731018
Point Breeze,5414.0,314958500.0,18.248984115256743,7.462135205024012
Point Breeze North,1732.0,59572300.0,7.332563510392609,6.928406466512701
Polish Hill,1331.0,38888900.0,6.6115702479338845,5.484598046581517
Regent Square,1033.0,52288700.0,20.619554695062924,4.743465634075508
Ridgemont,314.0,7893900.0,11.78343949044586,0.0
Shadyside,13562.0,605635700.0,5.4859165314850316,3.812122105884088
Sheraden,5684.0,101081700.0,26.42505277973258,1.3019000703729768
South Oakland,2921.0,47722300.0,4.895583704210886,2.670318384115029
South Shore,12.0,0.0,0.0,0.0
South Side Flats,6292.0,233098400.0,3.8302606484424664,3.242212333121424
South Side Slopes,4583.0,123648400.0,7.767837660920794,4.494872354353044
Spring Garden,840.0,15833800.0,14.166666666666666,0.0
Spring Hill-City View,2456.0,46688500.0,27.524429967426713,2.768729641693811
Squirrel Hill North,11336.0,577467500.0,12.755822159491883,5.830980945659845
Squirrel Hill South,16042.0,659886300.0,15.05423263932178,6.364543074429623
St. Clair,270.0,3867600.0,31.11111111111111,0.0
Stanton Heights,4761.0,134047100.0,15.584961142617097,4.116782188615837
Strip District,747.0,91738300.0,4.417670682730924,7.228915662650602
Summer Hill,1191.0,40337500.0,18.723761544920233,2.2670025188916876
Swisshelm Park,1345.0,43095600.0,19.62825278810409,5.4275092936802976
Terrace Village,2292.0,16879300.0,8.507853403141361,1.963350785340314
Troy Hill,2283.0,77521600.0,14.016644765659219,3.5041611914148048
Upper Hill,1884.0,39512800.0,12.685774946921443,3.5031847133757963
Upper Lawrenceville,2754.0,65738500.0,16.92084241103849,4.793028322440087
West End,235.0,3615800.0,0.0,5.957446808510639
West Oakland,1717.0,16339500.0,9.202096680256261,0.6988934187536401
Westwood,3537.0,91857100.0,16.058806898501555,2.4314390726604467
Windgap,1534.0,34609300.0,17.014341590612776,1.8252933507170794
